Fit #1
hpGBCm6A_m6A_C2_65C Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),2.51,0.01
kexAB (s^-1),1122,13
R1 (s^-1),4.88,0.04
R2 (s^-1),11.99,0.05
Red. Chi-sq,0.31
