Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),1.100,1.100
dwB (ppm),0.63,0.03
kexAB (s^-1),1020,303
R1 (s^-1),4.73,0.05
R2 (s^-1),20.90,0.08
Red. Chi-sq,1.42
