Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.500,0.012
dwB (ppm),3.36,0.07
kexAB (s^-1),2762,113
R1 (s^-1),1.36,0.07
R2 (s^-1),18.21,0.16
Red. Chi-sq,0.12
