Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.500,0.012
dwB (ppm),2.77,0.07
kexAB (s^-1),2762,113
R1 (s^-1),1.45,0.08
R2 (s^-1),27.86,0.16
Red. Chi-sq,0.12
