Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.430,0.025
dwB (ppm),3.03,0.06
kexAB (s^-1),913,75
R1 (s^-1),1.40,0.06
R2 (s^-1),27.43,0.10
Red. Chi-sq,0.17
