Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),6.15,2.47
kexAB (s^-1),4367,5528
R1 (s^-1),4.36,1.67
R2 (s^-1),34.30,4.79
Red. Chi-sq,18.80
