Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.250,0.250
dwB (ppm),5.70,3.09
kexAB (s^-1),4367,5528
R1 (s^-1),2.84,2.07
R2 (s^-1),40.88,5.13
Red. Chi-sq,18.80
