Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.300,2.300
dwB (ppm),3.38,0.03
kexAB (s^-1),2145,54
R1 (s^-1),0.93,0.21
R2 (s^-1),19.97,0.36
Red. Chi-sq,0.31
