Fit #1
gc8 Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),1.47,0.11
kexAB (s^-1),4600,533
R1 (s^-1),4.07,0.11
R2 (s^-1),17.24,0.70
Red. Chi-sq,5.34
