Fit #1
gc1p Pars,Fit Value,Error
pB (%),2.500,2.500
dwB (ppm),1.54,0.11
kexAB (s^-1),4600,533
R1 (s^-1),3.52,0.13
R2 (s^-1),10.63,0.72
Red. Chi-sq,5.34
