Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,6
R1 (s^-1),0.99,0.10
R2 (s^-1),31.82,0.19
Red. Chi-sq,0.19
