Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.550,0.550
dwB (ppm),5.52,0.56
kexAB (s^-1),3261,972
R1 (s^-1),3.13,0.78
R2 (s^-1),23.97,1.71
Red. Chi-sq,3.77
