Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.200,0.200
dwB (ppm),3.89,0.21
kexAB (s^-1),1903,226
R1 (s^-1),1.55,0.11
R2 (s^-1),18.22,0.20
Red. Chi-sq,0.49
