Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,2
R1 (s^-1),2.35,0.05
R2 (s^-1),20.78,0.07
Red. Chi-sq,0.26
