Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.25,0.06
kexAB (s^-1),3208,160
R1 (s^-1),1.64,0.14
R2 (s^-1),27.66,0.32
Red. Chi-sq,0.28
