Fit #1
ac8 Pars,Fit Value,Error
pB (%),1.500,1.500
dwB (ppm),3.49,0.17
kexAB (s^-1),2730,289
R1 (s^-1),1.14,0.77
R2 (s^-1),30.47,1.42
Red. Chi-sq,2.82
