Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.060,0.060
dwB (ppm),6.86,10.28
kexAB (s^-1),4356,15300
R1 (s^-1),4.12,1.32
R2 (s^-1),36.57,3.47
Red. Chi-sq,8.55
