Fit #1
ra16_c8_15c Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),5.39,0.43
kexAB (s^-1),4746,834
R1 (s^-1),1.77,0.06
R2 (s^-1),34.10,0.23
Red. Chi-sq,0.89
