Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),3.52,0.00
kexAB (s^-1),12,1
R1 (s^-1),2.63,0.08
R2 (s^-1),20.22,0.09
Red. Chi-sq,0.66
