Fit #1
G10_C8_Off Pars,Fit Value,Error
pB (%),0.150,0.150
dwB (ppm),6.66,5.26
kexAB (s^-1),4611,13916
R1 (s^-1),3.63,2.15
R2 (s^-1),53.46,7.46
Red. Chi-sq,15.46
