Fit #1
g10c1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),4.18,0.07
kexAB (s^-1),357,10
R1 (s^-1),0.32,0.25
R2 (s^-1),19.25,0.32
Red. Chi-sq,1.92
