Fit #1
g10c8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),3.32,0.13
kexAB (s^-1),357,10
R1 (s^-1),0.01,0.49
R2 (s^-1),27.34,0.52
Red. Chi-sq,1.92
