Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),2.82,0.10
kexAB (s^-1),989,41
R1 (s^-1),0.80,0.17
R2 (s^-1),30.25,0.21
Red. Chi-sq,0.37
