Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.750,0.750
dwB (ppm),3.14,0.08
kexAB (s^-1),989,41
R1 (s^-1),0.47,0.12
R2 (s^-1),21.98,0.17
Red. Chi-sq,0.37
