Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.555,0.019
dwB (ppm),2.96,0.08
kexAB (s^-1),2534,134
R1 (s^-1),1.14,0.10
R2 (s^-1),20.61,0.20
Red. Chi-sq,0.18
