Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.27,4.27
kexAB (s^-1),10,9
R1 (s^-1),0.98,0.10
R2 (s^-1),31.99,0.18
Red. Chi-sq,0.18
