Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),1.88,0.07
kexAB (s^-1),350,21
R1 (s^-1),4.54,0.03
R2 (s^-1),20.99,0.03
Red. Chi-sq,0.38
