Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.555,0.018
dwB (ppm),2.96,0.08
kexAB (s^-1),2482,130
R1 (s^-1),1.13,0.10
R2 (s^-1),20.66,0.19
Red. Chi-sq,0.18
