Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),0.010,0.010
dwB (ppm),6.00,25.35
kexAB (s^-1),3655,50750
R1 (s^-1),5.52,0.45
R2 (s^-1),16.33,1.69
Red. Chi-sq,74.62
