Fit #1
G7C1p_pH5.3HS_25C Pars,Fit Value,Error
pB (%),0.100,0.100
dwB (ppm),4.32,0.19
kexAB (s^-1),777,64
R1 (s^-1),1.24,0.04
R2 (s^-1),21.16,0.06
Red. Chi-sq,0.80
