Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.500,0.500
dwB (ppm),2.73,0.08
kexAB (s^-1),458,18
R1 (s^-1),2.17,0.05
R2 (s^-1),24.01,0.06
Red. Chi-sq,0.14
