Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.545,0.048
dwB (ppm),2.31,0.11
kexAB (s^-1),3603,185
R1 (s^-1),2.29,0.08
R2 (s^-1),30.26,0.17
Red. Chi-sq,0.17
