Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.545,0.048
dwB (ppm),2.74,0.12
kexAB (s^-1),3603,185
R1 (s^-1),1.96,0.06
R2 (s^-1),19.93,0.17
Red. Chi-sq,0.17
