Fit #1
gc8 Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),2.93,0.07
kexAB (s^-1),167,5
R1 (s^-1),1.56,0.12
R2 (s^-1),22.61,0.14
Red. Chi-sq,0.65
