Fit #1
gc1p Pars,Fit Value,Error
pB (%),3.500,3.500
dwB (ppm),3.87,0.08
kexAB (s^-1),167,5
R1 (s^-1),1.50,0.14
R2 (s^-1),17.41,0.21
Red. Chi-sq,0.65
