Fit #1
g10c8 Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),3.08,0.13
kexAB (s^-1),947,27
R1 (s^-1),0.07,0.46
R2 (s^-1),27.15,0.50
Red. Chi-sq,1.56
