Fit #1
g10c1p Pars,Fit Value,Error
pB (%),1.600,1.600
dwB (ppm),4.07,0.07
kexAB (s^-1),947,27
R1 (s^-1),0.24,0.22
R2 (s^-1),18.25,0.31
Red. Chi-sq,1.56
