param,fitval,fiterror
pB,0.02000,0.00000
pC,-0.00000,0.00000
dwB,2.76105,0.00847
dwC,-0.00000,0.00000
kexAB,34.46588,9.95358
kexAC,-0.00000,0.00000
kexBC,0.00000,0.00000
R1,3.23513,0.02959
R2,19.19183,0.16142
rchi2,35.32053,0.0
