Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),2.44,0.06
kexAB (s^-1),3970,181
R1 (s^-1),1.85,0.10
R2 (s^-1),16.89,0.28
Red. Chi-sq,0.28
