Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),4.05,0.14
kexAB (s^-1),118,6
R1 (s^-1),1.43,0.11
R2 (s^-1),22.13,0.13
Red. Chi-sq,0.58
