Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),3.98,0.20
kexAB (s^-1),118,6
R1 (s^-1),1.63,0.14
R2 (s^-1),31.61,0.17
Red. Chi-sq,0.58
