Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.477,0.020
dwB (ppm),2.82,0.10
kexAB (s^-1),1484,120
R1 (s^-1),2.65,0.07
R2 (s^-1),28.79,0.20
Red. Chi-sq,0.26
