Fit #1
ac8 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.54,0.08
kexAB (s^-1),5139,337
R1 (s^-1),1.97,0.16
R2 (s^-1),25.81,0.52
Red. Chi-sq,0.57
