Fit #1
ac1p Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.72,0.07
kexAB (s^-1),5139,337
R1 (s^-1),2.12,0.14
R2 (s^-1),15.96,0.52
Red. Chi-sq,0.57
