Fit #1
gc8 Pars,Fit Value,Error
pB (%),0.900,0.900
dwB (ppm),3.74,0.02
kexAB (s^-1),523,6
R1 (s^-1),2.78,0.03
R2 (s^-1),19.90,0.06
Red. Chi-sq,0.20
