Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),5.93,0.90
kexAB (s^-1),3541,1580
R1 (s^-1),3.68,0.88
R2 (s^-1),25.52,2.07
Red. Chi-sq,4.89
