Fit #1
hpGBCm6A_m6AC2_55C Pars,Fit Value,Error
pB (%),8.000,8.000
dwB (ppm),0.61,0.07
kexAB (s^-1),2832,661
R1 (s^-1),5.53,0.28
R2 (s^-1),12.63,0.72
Red. Chi-sq,38.78
