Fit #1
G10_C1p_Off Pars,Fit Value,Error
pB (%),0.600,0.600
dwB (ppm),3.63,0.41
kexAB (s^-1),92,20
R1 (s^-1),1.49,0.09
R2 (s^-1),15.11,0.12
Red. Chi-sq,0.32
