Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),3.000,3.000
dwB (ppm),2.11,0.01
kexAB (s^-1),25,2
R1 (s^-1),4.54,0.03
R2 (s^-1),21.05,0.03
Red. Chi-sq,0.46
