Fit #1
ac8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.74,0.06
kexAB (s^-1),5916,587
R1 (s^-1),2.07,0.21
R2 (s^-1),25.62,0.83
Red. Chi-sq,1.00
