Fit #1
ac1p Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.80,0.06
kexAB (s^-1),5916,587
R1 (s^-1),2.25,0.18
R2 (s^-1),15.97,0.84
Red. Chi-sq,1.00
