param,fitval,fiterror
pB,0.00750,0.00000
pC,-0.00000,0.00000
dwB,-1.54177,0.03024
dwC,0.00000,0.00000
kexAB,146.10270,12.52342
kexAC,0.00000,0.00000
kexBC,0.00000,0.00000
R1,1.23349,0.00796
R2,4.70283,0.24967
rchi2,26.27911,0.0
