Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),1.000,1.000
dwB (ppm),2.11,0.06
kexAB (s^-1),3711,231
R1 (s^-1),3.14,0.07
R2 (s^-1),24.12,0.24
Red. Chi-sq,0.27
