Fit #1
gc8 Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),3.45,0.01
kexAB (s^-1),30,1
R1 (s^-1),2.88,0.04
R2 (s^-1),20.09,0.08
Red. Chi-sq,0.43
