Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.450,0.450
dwB (ppm),3.53,0.05
kexAB (s^-1),2815,124
R1 (s^-1),1.35,0.07
R2 (s^-1),18.40,0.16
Red. Chi-sq,0.12
