Fit #1
G_C8_Off Pars,Fit Value,Error
pB (%),10.000,10.000
dwB (ppm),0.22,0.03
kexAB (s^-1),3948,879
R1 (s^-1),2.56,0.05
R2 (s^-1),20.22,0.14
Red. Chi-sq,0.42
