Fit #1
gc1p Pars,Fit Value,Error
pB (%),0.300,0.300
dwB (ppm),4.94,0.38
kexAB (s^-1),2534,448
R1 (s^-1),2.68,0.24
R2 (s^-1),16.72,0.55
Red. Chi-sq,1.61
