Fit #1
ra16_c8_10c Pars,Fit Value,Error
pB (%),0.400,0.400
dwB (ppm),2.41,0.11
kexAB (s^-1),3263,289
R1 (s^-1),1.81,0.04
R2 (s^-1),41.42,0.19
Red. Chi-sq,0.86
