Fit #1
A16_C8_Off Pars,Fit Value,Error
pB (%),0.699,0.110
dwB (ppm),2.48,0.19
kexAB (s^-1),3827,330
R1 (s^-1),3.00,0.08
R2 (s^-1),23.30,0.29
Red. Chi-sq,0.29
