SIMFIT RESULTS
==============

Dataset : C:/Bruker/TopSpin3.2/hashimi/at_20210521_scaf2CAC_m1A_10C/1/pdata/992/ct1t2.txt

INTENSITY fit : Exponential decay (T2 or T1rho) : I[t]=I[0]*exp(-t/T)

228 points for Peak 1

Converged after 231 iterations!

Results     Comp. 1       Comp. 2    

I[0]  =   -2.933e-002    1.031e+000  
T     =      10.908s      150.334s  

RSS   =   1.392e-003
SD    =   2.471e-003

Point       Tau          Expt          Calc       Difference

    1       1.000s    1.000e+000    9.975e-001   -2.485e-003
    2       2.000s    9.947e-001    9.931e-001   -1.606e-003
    3       3.000s    9.893e-001    9.885e-001   -8.451e-004
    4       4.000s    9.839e-001    9.837e-001   -2.212e-004
    5       5.000s    9.786e-001    9.788e-001    2.847e-004
    6       6.000s    9.732e-001    9.738e-001    6.742e-004
    7       7.000s    9.678e-001    9.688e-001    9.386e-004
    8       8.000s    9.624e-001    9.636e-001    1.166e-003
    9       9.000s    9.570e-001    9.583e-001    1.369e-003
   10      10.000s    9.516e-001    9.530e-001    1.447e-003
   11      11.000s    9.462e-001    9.477e-001    1.461e-003
   12      12.000s    9.407e-001    9.422e-001    1.500e-003
   13      13.000s    9.353e-001    9.368e-001    1.472e-003
   14      14.000s    9.299e-001    9.313e-001    1.418e-003
   15      15.000s    9.245e-001    9.258e-001    1.313e-003
   16      16.000s    9.190e-001    9.202e-001    1.226e-003
   17      17.000s    9.135e-001    9.147e-001    1.139e-003
   18      18.000s    9.081e-001    9.091e-001    9.908e-004
   19      19.000s    9.028e-001    9.036e-001    7.770e-004
   20      20.000s    8.974e-001    8.980e-001    5.774e-004
   21      21.000s    8.920e-001    8.924e-001    3.630e-004
   22      22.000s    8.866e-001    8.868e-001    1.947e-004
   23      23.000s    8.813e-001    8.813e-001   -2.239e-005
   24      24.000s    8.760e-001    8.757e-001   -2.591e-004
   25      25.000s    8.706e-001    8.702e-001   -4.290e-004
   26      26.000s    8.652e-001    8.646e-001   -5.634e-004
   27      27.000s    8.598e-001    8.591e-001   -7.049e-004
   28      28.000s    8.545e-001    8.536e-001   -8.556e-004
