Fit #1
A6RNAm6A_C2_37 Pars,Fit Value,Error
pB (%),2.000,2.000
dwB (ppm),1.78,0.05
kexAB (s^-1),54,3
R1 (s^-1),4.56,0.03
R2 (s^-1),21.04,0.03
Red. Chi-sq,0.38
