Fit #1
A16_C1p_Off Pars,Fit Value,Error
pB (%),0.527,0.037
dwB (ppm),2.78,0.10
kexAB (s^-1),3390,173
R1 (s^-1),1.93,0.05
R2 (s^-1),20.01,0.16
Red. Chi-sq,0.13
