Fit #1
ac8 Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),6.74,7.52
kexAB (s^-1),4295,11221
R1 (s^-1),4.03,1.30
R2 (s^-1),36.12,3.38
Red. Chi-sq,8.28
