Fit #1
ac1p Pars,Fit Value,Error
pB (%),0.080,0.080
dwB (ppm),7.06,6.22
kexAB (s^-1),4295,11221
R1 (s^-1),5.13,1.15
R2 (s^-1),30.70,3.08
Red. Chi-sq,8.28
